DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
02M089,P.S. 89,449,0,0,0,0,0,0,0
02M104,J.H.S. 104 Simon Baruch,1184,73,0.06,30,23,7,42,1
02M111,P.S. 111 Adolph S. Ochs,442,99,0.22,59,0,0,36,4
02M114,East Side Middle School,453,0,0,0,0,0,0,0
02M116,P.S. 116 Mary Lindley Murray,575,79,0.14,57,0,0,20,2
02M124,P.S. 124 Yung Wing,738,36,0.05,0,0,0,35,1
02M126,P.S. 126 Jacob August Riis,795,181,0.23,8,0,0,173,0
02M130,P.S. 130 Hernando De Soto,922,15,0.02,0,0,0,15,0
02M131,M.S. 131,453,108,0.24,14,0,0,93,1
02M135,The Urban Assembly School for Emergency Management,286,45,0.16,21,13,8,13,11
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,399,35,0.09,21,12,9,7,7
02M150,P.S. 150,187,0,0,0,0,0,0,0
02M151,Yorkville Community School,526,51,0.10,13,6,7,35,3
02M158,P.S. 158 Bayard Taylor,825,15,0.02,0,0,0,8,7
02M167,J.H.S. 167 Robert F. Wagner,1368,41,0.03,7,0,0,29,5
02M177,Yorkville East Middle School,238,8,0.03,0,0,0,0,8
02M183,P.S. 183 Robert L. Stevenson,600,0,0,0,0,0,0,0
02M198,P.S. 198 Isador E. Ida Straus,486,20,0.04,6,0,0,6,8
02M212,P.S. 212 Midtown West,373,0,0,0,0,0,0,0
02M217,P.S./I.S. 217 Roosevelt Island,658,15,0.02,6,0,0,9,0
02M225,Ella Baker School,326,14,0.04,0,0,0,7,7
02M234,P.S. 234 Independence School,664,0,0,0,0,0,0,0
02M255,M.S. 255 Salk School of Science,391,0,0,0,0,0,0,0
02M260,M.S. 260 Clinton School Writers & Artists,601,7,0.01,0,0,0,6,1
02M267,"East Side Elementary School, PS 267",416,0,0,0,0,0,0,0
02M276,Battery Park City School,866,12,0.01,0,0,0,0,12
02M280,Manhattan Early College School for Advertising,379,34,0.09,11,0,0,20,3
02M281,The River School,305,9,0.03,0,0,0,9,0
02M282,Urban Assembly Maker Academy,387,28,0.07,11,0,0,15,2
02M288,Food and Finance High School,382,35,0.09,14,0,0,19,2
02M289,I.S. 289,284,15,0.05,0,0,0,11,4
02M290,P.S. 290 Manhattan New School,650,0,0,0,0,0,0,0
02M294,Essex Street Academy,339,19,0.06,7,0,0,10,2
02M296,High School of Hospitality Management,394,30,0.08,15,0,0,11,4
02M297,M.S. 297,218,0,0,0,0,0,0,0
02M298,Pace High School,551,35,0.06,12,0,0,20,3
02M300,"Urban Assembly School of Design and Construction,",357,66,0.18,30,14,16,32,4
02M303,"Facing History School, The",382,44,0.12,15,8,7,26,3
02M305,"Urban Assembly Academy of Government and Law, The",301,47,0.16,20,11,9,23,4
