DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
10X565,High School for Energy and Technology,430,54,0.13,24,12,12,27,3
10X668,Dewitt Clinton Campus YABC,65,6,0.09,0,0,0,0,6
10X696,High School of American Studies at Lehman College,400,0,0,0,0,0,0,0
10X700,Universal Pre-K C.B.O.,2554,350,0.14,75,64,11,268,7
11X016,P.S. 016 Wakefield,389,65,0.17,44,0,0,20,1
11X019,P.S. 019 Judith K. Weiss,536,30,0.06,0,0,0,27,3
11X021,P.S. 021 Philip H. Sheridan,743,168,0.23,72,51,21,77,19
11X041,P.S. 041 Gun Hill Road,1006,208,0.21,78,50,28,123,7
11X068,P.S. 068 Bronx,723,67,0.09,36,30,6,29,2
11X076,P.S. 076 The Bennington School,1006,126,0.13,49,31,18,76,1
11X078,P.S. 078 Anne Hutchinson,915,89,0.10,62,48,14,19,8
12X384,Entrada Academy,249,61,0.24,22,0,0,39,0
11X083,P.S. 083 Donald Hertz,1784,147,0.08,49,39,10,94,4
11X087,P.S. 087 Bronx,651,91,0.14,28,0,0,63,0
11X089,P.S. 089 Bronx,1589,161,0.10,62,40,22,95,4
11X096,P.S. 096 Richard Rodgers,1001,151,0.15,40,34,6,102,9
11X097,P.S. 097 Bronx,695,61,0.09,18,0,0,35,8
11X103,P.S. 103 Hector Fontanez,1197,147,0.12,71,57,14,63,13
11X105,P.S. 105 Sen Abraham Bernstein,1139,146,0.13,29,0,0,116,1
11X106,P.S. 106 Parkchester,1157,156,0.13,25,0,0,131,0
11X108,P.S. 108 Philip J. Abinanti,622,45,0.07,6,0,0,38,1
11X111,P.S. 111 Seton Falls,719,99,0.14,36,26,10,51,12
11X112,P.S. 112 Bronxwood,441,93,0.21,44,33,11,42,7
11X121,P.S. 121 Throop,941,105,0.11,51,37,14,51,3
11X127,J.H.S. 127 The Castle Hill,827,121,0.15,14,0,0,107,0
11X144,J.H.S. 144 Michelangelo,509,80,0.16,30,20,10,48,2
11X153,P.S. 153 Helen Keller,660,32,0.05,11,0,0,20,1
11X160,P.S. 160 Walt Disney,417,40,0.10,10,0,0,29,1
11X169,Baychester Academy,423,47,0.11,27,19,8,20,0
11X175,P.S. 175 City Island,345,8,0.02,0,0,0,0,8
11X178,P.S. 178 - Dr. Selman Waksman,466,70,0.15,31,25,6,38,1
11X180,M.S. 180 Dr. Daniel Hale Williams,988,60,0.06,19,0,0,40,1
11X181,I.S. 181 Pablo Casals,889,71,0.08,17,10,7,50,4
11X189,Cornerstone Academy for Social Action,396,79,0.20,31,17,14,36,12
11X194,P.S./M.S. 194,1404,179,0.13,22,0,0,156,1
11X249,Bronx Health Sciences High School,312,25,0.08,11,0,0,13,1
11X253,Bronx High School for Writing and Communication Ar,348,44,0.13,22,14,8,19,3
11X265,Bronx Lab School,404,57,0.14,30,14,16,22,5
11X270,Academy for Scholarship and Entrepreneurship: A Co,412,52,0.13,18,10,8,26,8
11X275,High School of Computers and Technology,575,59,0.10,18,0,0,40,1
11X287,North Bronx School of Empowerment,625,100,0.16,60,35,25,36,4
11X288,Collegiate Institute for Math and Science,625,27,0.04,7,0,0,20,0
11X290,Bronx Academy of Health Careers,405,79,0.20,34,11,23,33,12
11X299,Astor Collegiate Academy,493,26,0.05,11,0,0,11,4
11X326,Bronx Green Middle School,404,41,0.10,10,0,0,31,0
11X355,Bronx Alliance Middle School,353,56,0.16,28,16,12,26,2
11X357,Young Voices Academy of the Bronx,377,64,0.17,6,0,0,58,0
11X370,Leaders of Tomorrow,403,52,0.13,28,20,8,21,3
11X417,C Columbus Hs Yabc,99,8,0.08,0,0,0,6,2
11X418,Bronx High School for the Visual Arts,462,47,0.10,19,9,10,23,5
11X444,Home Schooling,259,10,0.04,6,0,0,0,4
11X455,Harry S Truman High School,2078,187,0.09,73,57,16,100,14
11X462,Cornerstone Academy for Social Action Middle Schoo,274,22,0.08,10,0,0,11,1
11X468,Pelham Academy of Academics and Community Engageme,341,37,0.11,0,0,0,31,6
11X481,The STEAM Bridge School,167,16,0.10,0,0,0,13,3
11X483,The Matilda Avenue School,128,30,0.23,11,0,0,17,2
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,650,38,0.06,9,0,0,27,2
11X508,Bronxdale High School,447,37,0.08,13,0,0,19,5
11X509,High School of Language and Innovation,366,74,0.20,8,0,0,65,1
11X513,New World High School,410,55,0.13,23,0,0,31,1
11X514,The Bronxwood Preparatory Academy,434,47,0.11,18,11,7,26,3
11X529,One World Middle School at Edenwald,347,20,0.06,10,0,0,8,2
11X532,Baychester Middle School,308,34,0.11,10,0,0,23,1
11X534,District 11 Pre-K Center,144,15,0.10,0,0,0,11,4
11X542,Pelham Preparatory Academy,519,27,0.05,12,0,0,13,2
11X544,High School for Contemporary Arts,455,60,0.13,28,18,10,28,4
11X545,Bronx Aerospace High School,336,57,0.17,28,14,14,23,6
11X556,Bronx Park Middle School,423,91,0.22,20,13,7,69,2
11X566,Pelham Gardens Middle School,478,43,0.09,21,10,11,21,1
11X567,Linden Tree Elementary School,421,75,0.18,27,0,0,48,0
11X700,Universal Pre-K C.B.O.,2598,164,0.06,54,0,0,103,7
12X006,P.S. 006 West Farms,564,182,0.32,90,78,12,86,6
12X044,P.S. 044 David C. Farragut,295,122,0.41,94,87,7,23,5
12X047,P.S. 047 John Randolph,1116,70,0.06,48,38,10,17,5
12X057,P.S. 057 Crescent,556,120,0.22,63,47,16,57,0
12X061,P.S. 061 Francisco Oller,306,69,0.23,19,11,8,45,5
12X066,P.S. 066 School of Higher Expectations,720,216,0.30,155,113,42,59,2
12X067,P.S. 067 Mohegan School,561,81,0.14,71,60,11,8,2
12X092,P.S. 092 Bronx,425,129,0.30,49,0,0,76,4
12X098,J.H.S. 098 Herman Ridder,265,65,0.25,43,31,12,15,7
12X129,M.S. 129 Academy for Independent Learning and Lead,538,101,0.19,55,40,15,45,1
12X134,P.S. 134 George F. Bristow,690,106,0.15,90,76,14,13,3
12X150,P.S. 150 Charles James Fox,910,250,0.27,98,84,14,145,7
12X190,E.S.M.T- I.S. 190,260,38,0.15,14,8,6,22,2
12X195,P.S. 195,987,253,0.26,68,55,13,182,3
12X196,P.S. 196,964,195,0.20,75,58,17,114,6
12X211,P.S. 211,608,82,0.13,46,36,10,35,1
12X212,P.S. 212,421,116,0.28,61,47,14,48,7
12X214,P.S. 214,1129,165,0.15,93,75,18,69,3
12X217,School of Performing Arts,302,67,0.22,40,25,15,24,3
12X242,Mott Hall V,689,54,0.08,18,12,6,30,6
12X248,"Metropolitan High School, The",426,87,0.20,39,27,12,36,12
12X251,Explorations Academy H.S.,356,57,0.16,28,14,14,26,3
12X267,Bronx Latin,597,45,0.08,21,0,0,16,8
12X271,East Bronx Academy for the Future,702,107,0.15,50,35,15,50,7
12X273,Frederick Douglass Academy V. Middle School,234,46,0.20,25,18,7,19,2
12X286,Fannie Lou Hamer Middle School,289,72,0.25,40,27,13,31,1
12X300,The School of Science and Applied Learning,648,164,0.25,107,85,22,51,6
12X314,Fairmont Neighborhood School,329,56,0.17,28,13,15,28,0
12X316,Kappa III,393,49,0.12,21,13,8,25,3
12X318,"I.S. X318 Math, Science & Technology Through Arts",271,45,0.17,27,17,10,16,2
12X321,Crotona Academy High School,185,24,0.13,13,0,0,8,3
12X341,Accion Academy,153,25,0.16,18,12,6,6,1
12X372,Urban Assembly School for Wildlife Conservation,477,59,0.12,31,20,11,26,2
12X388,Pan American International High School at Monroe,501,112,0.22,27,0,0,79,6
12X428,Learning To Work Yabc At Monroe Academy,133,14,0.11,7,0,0,0,7
12X444,Home Schooling,87,11,0.13,7,0,0,0,4
12X446,Arturo A. Schomburg Satellite Academy Bronx,228,24,0.11,12,0,0,12,0
12X458,Samara Community School,214,37,0.17,14,0,0,20,3
12X463,Urban Scholars Community School,296,83,0.28,32,0,0,40,11
12X478,The Cinema School,290,27,0.09,0,0,0,18,9
12X479,Bronx Career and College Preparatory High School,296,41,0.14,23,0,0,17,1
12X480,Bronx Regional High School,246,60,0.24,22,9,13,24,14
